Team;
Almería;
Atlético;
Barcelona;
Betis;
Cádiz;
Celta;
Elche;
Espanyol;
Getafe;
Girona;
Mallorca;
Osasuna;
Rayo;
Real Madrid;
Real Sociedad;
Sevilla;
Valencia;
Valladolid;
Villareal;
